,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,24655000000.0,18447000000.0,13600000000.0,10273000000.0
Effect Of Accounting Charges,0.0,0.0,0.0,0.0
Income Before Tax,47284000000.0,33180000000.0,24812000000.0,25361000000.0
Minority Interest,0.0,0.0,0.0,0.0
Net Income,39370000000.0,29146000000.0,18485000000.0,22112000000.0
Selling General Administrative,23872000000.0,18155000000.0,15341000000.0,11297000000.0
Gross Profit,95280000000.0,69273000000.0,57927000000.0,46483000000.0
Ebit,46753000000.0,32671000000.0,28986000000.0,24913000000.0
Operating Income,46753000000.0,32671000000.0,28986000000.0,24913000000.0
Other Operating Expenses,0.0,0.0,0.0,0.0
Interest Expense,0.0,0.0,0.0,0.0
Extraordinary Items,0.0,0.0,0.0,0.0
Non Recurring,0.0,0.0,0.0,0.0
Other Items,0.0,0.0,0.0,0.0
Income Tax Expense,7914000000.0,4034000000.0,6327000000.0,3249000000.0
Total Revenue,117929000000.0,85965000000.0,70697000000.0,55838000000.0
Total Operating Expenses,71176000000.0,53294000000.0,41711000000.0,30925000000.0
Cost Of Revenue,22649000000.0,16692000000.0,12770000000.0,9355000000.0
Total Other Income Expense Net,531000000.0,509000000.0,-4174000000.0,448000000.0
Discontinued Operations,0.0,0.0,0.0,0.0
Net Income From Continuing Ops,39370000000.0,29146000000.0,18485000000.0,22112000000.0
Net Income Applicable To Common Shares,39370000000.0,29146000000.0,18485000000.0,22111000000.0
